"sex","type","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"male","ambiguous","I",391,0.906535316874651,0.123974702733946,1,""
"male","ambiguous","II",451,1.04222469766432,0.488361758225433,2,""
"male","ambiguous","III",403,1.07326556332946,0.266920753823365,3,""
"male","ambiguous","IV",447,1.01584062999746,0.7868673646615,4,""
"male","ambiguous","V",560,0.975550642882171,0.660061356683645,5,""
"male","cis + trans (enhancing)","I",127,1.0209675882133,0.837542590754121,1,""
"male","cis + trans (enhancing)","II",141,1.09343575128606,0.366028095347566,2,""
"male","cis + trans (enhancing)","III",90,0.730363692286867,0.00595750261462123,3,""
"male","cis + trans (enhancing)","IV",139,1.06242457362677,0.547772823704441,4,""
"male","cis + trans (enhancing)","V",179,1.07247145684147,0.43615529159028,5,""
"male","cis x trans (compensatory)","I",128,0.939265892879644,0.552063706502464,1,""
"male","cis x trans (compensatory)","II",172,1.30684985873203,0.00409919896304357,2,""
"male","cis x trans (compensatory)","III",111,0.866154319137224,0.183847444375178,3,""
"male","cis x trans (compensatory)","IV",148,1.05040908600422,0.594305826924456,4,""
"male","cis x trans (compensatory)","V",167,0.877421977747387,0.156096500225106,5,""
"male","cis-only","I",337,1.09200289729912,0.195163794059434,1,""
"male","cis-only","II",306,0.874241500142812,0.0527302576487395,2,""
"male","cis-only","III",289,0.976130489018838,0.751827766924609,3,""
"male","cis-only","IV",349,1.05098755872529,0.463742058689638,4,""
"male","cis-only","V",437,1.01330430578446,0.83111913614375,5,""
"male","cis-trans (compensatory)","I",219,1.18441095814922,0.0395357326519747,1,""
"male","cis-trans (compensatory)","II",227,1.15665216261294,0.0702691135463671,2,""
"male","cis-trans (compensatory)","III",183,1.02693699198826,0.761848248022879,3,""
"male","cis-trans (compensatory)","IV",175,0.801048663888049,0.0109171828204916,4,""
"male","cis-trans (compensatory)","V",245,0.892885940890159,0.143336683267826,5,""
"male","conserved","I",476,1.0359804000673,0.554000151244645,1,""
"male","conserved","II",453,0.875762174813124,0.0256019936415928,2,""
"male","conserved","III",473,1.16538448421113,0.0113065119610084,3,""
"male","conserved","IV",504,1.02997175201738,0.602941384286035,4,""
"male","conserved","V",613,0.938443991854361,0.244470667420026,5,""
"male","trans-only","I",200,0.852778761070789,0.0536194513101812,1,""
"male","trans-only","II",232,0.96965991449773,0.728463176781499,2,""
"male","trans-only","III",188,0.873465157249467,0.11327110021976,3,""
"male","trans-only","IV",234,0.971715883597084,0.729280330829296,4,""
"male","trans-only","V",361,1.29424907797532,0.000163402528353985,5,""
