Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
X.g21977.t1	53	8	17	53	8	28
V.g17801.t1	2	0	0	0	0	1
III.g8433.t1	5328	855	3097	3108	366	1145
X.g22005.t1	52	21	42	25	38	32
II.g6707.t1	2659	358	621	13171	1910	4443
X.g21985.t1	68	45	74	51	15	23
V.g14017.t1	80	71	49	256	36	88
IV.g11191.t1	92400	79474	83859	113661	10498	54757
III.g8586.t1	12205	22517	11737	8673	1533	5328
V.g14319.t1	41369	3790	20102	41485	1413	15639
III.g7694.t1	21790	13164	23985	27813	1612	11665
I.g1519.t2	8	8	1	21	23	12
X.g22006.t1	31	24	31	15	30	14
V.g18050.t1	2	1	2	4	2	2
V.g14990.t1	141	141	95	329	528	396
V.g14991.t1	143	168	87	327	502	344
V.g18052.t1	0	0	0	0	0	0
V.g14987.t1	11	10	8	14	12	12
V.g14978.t1	53	80	50	102	147	122
V.g14982.t1	0	3	0	4	2	5
V.g14976.t1	20	22	15	34	24	26
V.g14998.t1	105	111	87	236	316	209
V.g14979.t1	75	55	77	116	170	133
V.g14997.t1	90	116	80	299	183	247
V.g14989.t1	133	160	103	460	313	367
V.g14981.t1	34	26	21	136	187	117
V.g14984.t1	23	38	13	45	43	37
V.g14999.t1	82	98	98	147	141	148
V.g14859.t1	107	107	129	310	465	281
V.g15361.t1	136	173	124	354	258	369
V.g15360.t2	57	79	52	126	103	125
V.g18231.t1	41	59	46	93	90	119
V.g18512.t1	46	41	41	131	110	135
V.g15359.t1	105	99	91	150	224	154
V.g18510.t1	57	60	43	170	205	187
V.g18020.t1	94	99	104	152	121	143
V.g18014.t1	75	78	59	232	205	209
V.g18035.t1	23	32	14	67	56	45
V.g15248.t1	1	2	3	58	34	58
V.g14887.t2	44	53	31	83	152	97
V.g14888.t1	110	119	128	164	376	187
V.g14892.t1	30	46	31	90	68	92
V.g14890.t1	59	43	39	109	132	80
V.g14730.t1	26	26	18	73	65	73
V.g15246.t1	159	112	118	150	255	160
V.g14713.t3	58	49	47	80	108	98
V.g15243.t1	56	40	37	64	85	57
V.g15247.t1	203	170	128	248	424	220
V.g14729.t1	41	57	46	146	114	111
V.g15006.t3	59	76	45	95	197	125
V.g15005.t1	0	0	0	0	0	0
V.g14716.t1	104	87	93	138	197	170
V.g15053.t3	2	0	0	7	13	13
V.g14891.t3	70	46	45	130	127	135
IV.g11270.t2	1	2	0	5	2	7
V.g17248.t1	6	0	2	94	94	78
V.g17242.t2	0	1	0	1	4	2
V.g17551.t3	0	0	0	3	4	2
V.g17241.t2	1	0	1	0	3	1
IV.g11276.t1	3	2	4	25	30	39
X.g20389.t2	13	3	2	3	0	4
