Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
V.g16003.t3	73	56	77	103	112	88
II.g4625.t1	2983	3184	3155	1599	1546	2084
IV.g13506.t1	1344	991	1161	1215	1116	1337
IV.g12865.t1	14	17	14	64	48	54
II.g7158.t1	13	15	16	78	183	87
I.g1487.t2	3	2	2	31	19	24
V.g18303.t1	876	1000	885	462	381	580
I.g3915.t1	3930	4515	3909	4044	3737	4600
I.g1884.t1	5619	6358	5527	2855	3300	3775
V.g16049.t1	268	261	241	242	275	274
III.g8980.t3	5849	6100	5930	3049	2579	2873
I.g2748.t1	1133	1421	1221	554	778	800
II.g6092.t1	10707	12153	11046	5858	5480	7152
IV.g13031.t1	2079	2450	2102	929	815	1008
II.g6336.t1	5310	5731	4925	4372	5102	4364
III.g7495.t1	838	664	732	722	712	680
I.g3800.t1	8162	9256	8153	8620	7967	8939
II.g6184.t2	6180	5883	5625	3560	4612	4090
IV.g12981.t1	4066	4152	4067	2625	2889	3388
II.g5391.t2	800	576	699	242	316	298
II.g4419.t1	11445	13131	11324	3597	3418	4679
I.g1295.t1	1133	1095	784	1378	2714	1462
I.g3869.t1	54	63	45	85	39	61
IV.g12940.t1	226	230	183	279	411	271
II.g7019.t1	2252	2240	2013	1067	1058	1187
III.g9747.t2	8669	10486	9046	4976	3796	6077
IV.g11698.t3	7710	8747	7294	6011	5362	6667
I.g2451.t2	24251	22133	22012	20118	20497	19398
II.g5765.t1	5441	6468	5545	4146	3010	4163
III.g10042.t1	1001	798	906	1111	847	994
IV.g12558.t1	305	331	285	748	601	684
IV.g11701.t1	2096	2203	2124	1295	1494	1420
V.g14077.t1	234	253	238	348	114	280
III.g8848.t1	1249	1401	1420	921	1331	1349
III.g9172.t1	7204	7513	7022	4180	3921	4507
III.g9487.t1	17	19	16	100	128	111
V.g16092.t2	7491	8815	7255	3153	3458	3959
I.g2795.t3	6984	7505	6991	4355	2758	5349
IV.g13026.t1	4	2	3	14	12	15
II.g4025.t2	1610	1654	1538	1432	1565	1701
X.g20630.t1	34	25	20	94	44	64
IV.g12235.t1	22890	20396	20283	21253	19745	18545
I.g1812.t1	27896	24241	25148	25549	22560	21808
V.g16327.t1	84	67	70	37	25	49
X.g20516.t1	16	16	6	42	91	62
IV.g12693.t1	93	79	79	341	717	285
IV.g12121.t1	2281	2710	2356	1110	1982	1764
IV.g13565.t1	885	882	703	1333	1732	1519
V.g16483.t2	7436	7773	6278	6559	11661	7203
I.g2373.t1	523	603	437	1662	2400	1756
II.g3933.t1	946	932	918	791	1029	904
II.g5223.t1	21	35	26	87	63	68
III.g8566.t3	1	0	0	7	11	8
IV.g11345.t3	554	514	442	818	507	684
V.g14072.t1	273	291	240	1729	780	1540
I.g2610.t1	10518	9831	9723	14682	14176	14290
V.g14593.t1	6756	7081	6113	3938	2628	4061
I.g1566.t1	2668	2433	2245	3806	1910	3293
II.g6221.t1	190	179	120	270	168	265
IV.g13073.t1	3049	3385	2977	1972	1740	2175
V.g17398.t1	152387	171390	161623	131348	100136	146266
III.g8653.t3	10	5	10	10897	7223	9143
IV.g12122.t1	4070	4336	4144	2380	2104	2633
IV.g11655.t1	2476	2624	2496	1994	1635	2189
II.g7292.t1	8190	7568	7653	4318	4724	4704
III.g7555.t1	28	52	31	202	50	134
II.g5828.t1	8913	10631	9029	3338	3561	4341
V.g18500.t2	19	46	38	111	97	72
I.g1090.t1	2946	2875	2574	1052	1166	1306
IV.g12082.t1	3786	3290	3297	4165	3679	3966
I.g1726.t1	3222	3961	3278	2201	2028	2449
I.g3597.t1	157	321	189	1288	788	673
I.g999.t1	364	326	342	393	209	301
V.g14449.t2	118	82	120	223	109	225
I.g1965.t2	244	213	184	496	235	350
V.g16497.t1	5531	6342	5652	1515	2073	2064
III.g9105.t1	1298	1249	1306	711	928	800
II.g4207.t1	1304	2981	1215	5239	4582	5717
III.g10411.t1	607	619	584	322	400	482
IV.g12282.t1	3115	3156	2962	7333	4454	7276
IV.g11900.t1	9534	13789	8355	10541	8624	9189
III.g10319.t1	1924	1999	1815	1517	1332	1673
IV.g12160.t1	400	640	367	484	929	728
IV.g13352.t1	3628	3867	3363	3569	2524	3379
X.g20728.t1	977	1543	763	1712	2580	1814
III.g7688.t1	2055	2341	1899	1428	1776	1984
I.g2169.t1	4163	5153	4254	1530	1603	2056
IV.g10805.t1	310	278	278	835	302	578
V.g16531.t1	26	31	16	82	77	46
II.g4637.t2	22	42	13	40	25	53
IV.g13690.t1	5244	5714	5096	2032	1903	2654
I.g2000.t1	1	5	3	13	8	17
IV.g10904.t1	169	394	127	1902	284	547
II.g7252.t1	59040	60053	55322	36253	25328	30864
I.g774.t2	6491	6221	6344	9490	5443	8585
V.g18403.t1	3055	3142	2825	2285	1589	2461
IV.g11807.t1	1	0	1	2	5	5
II.g4930.t1	4830	4030	3311	2126	6253	2696
IV.g12499.t1	75	44	54	362	300	278
V.g14923.t1	2	4	1	2	1	3
II.g5129.t2	2036	1934	1792	1710	1453	1900
I.g2006.t1	3854	4163	3787	3016	2666	3421
III.g9380.t1	3277	3316	2842	1725	2802	2044
V.g16119.t1	27	34	37	151	157	120
X.g18705.t1	1	4	0	14	43	21
II.g5210.t4	6799	6492	6915	3683	2712	3808
I.g1530.t1	5530	6137	5683	1839	1718	2485
IV.g13244.t1	1936	2280	1832	1412	2040	1756
II.g6364.t1	46	31	21	159	37	109
X.g21380.t4	49	36	43	117	101	107
II.g4109.t1	3275	3182	3235	5744	3465	5135
II.g5865.t1	545	623	459	1743	972	1681
IV.g13635.t1	7145	7094	6666	2075	1781	2688
X.g20449.t3	202	173	217	425	541	580
I.g1141.t1	403	494	447	852	763	878
X.g19432.t3	260	272	233	692	350	576
IV.g12202.t1	3219	3536	3021	1413	2253	1711
IV.g11476.t1	2746	3352	2629	1366	1045	1439
I.g2151.t2	286	270	227	421	395	409
III.g9350.t1	4	1	0	72	70	61
I.g3432.t1	47	35	27	97	91	74
I.g732.t1	658	815	740	340	336	437
I.g3920.t1	34629	29331	29382	28194	28068	25828
III.g9771.t1	2736	2879	2627	2146	1957	2589
II.g5180.t1	3252	3679	3189	1004	1276	1370
X.g19095.t1	7	0	3	22	22	23
X.g18757.t1	6	4	6	26	20	24
X.g20310.t1	417	468	498	578	536	691
III.g7612.t1	5	1	3	2948	2495	2505
IV.g12888.t1	4987	5655	5318	2121	1379	2564
III.g8143.t2	9350	10239	9300	6060	5145	6872
II.g4461.t1	4922	5321	4718	2245	1993	2503
II.g5518.t1	5435	3559	4423	3198	1893	2995
V.g15137.t1	1381	1774	1318	421	471	550
V.g14059.t2	502	583	502	1357	958	1654
IV.g11594.t2	3389	3666	3412	2210	1644	2505
V.g16820.t1	1883	1407	1500	1920	3508	2368
V.g17341.t2	24	30	21	93	81	81
II.g6046.t1	541	538	511	1022	889	954
IV.g11723.t1	2804	3253	2797	1404	1902	1886
V.g15582.t2	1205	1283	1029	2467	2997	2715
III.g7562.t1	1998	2248	1923	2203	1706	2347
II.g5570.t1	322	330	299	258	244	320
IV.g11556.t1	7	12	12	25	27	30
III.g7868.t3	994	933	837	1314	1874	1677
III.g8345.t2	2622	3183	2599	1729	1647	2033
I.g1865.t1	5490	6198	5968	1865	2225	2665
III.g9359.t1	5176	5271	4494	6269	5166	6033
II.g4317.t2	254	221	244	395	271	340
V.g16737.t1	17	17	11	83	30	39
X.g20641.t1	3243	3087	2976	1780	464	1433
II.g5349.t3	65	35	51	205	159	170
II.g7329.t1	2453	2227	2262	1126	1005	1567
II.g6111.t2	2426	2509	2278	1074	1677	1560
I.g1246.t1	4010	4646	3910	4057	4487	4788
V.g17606.t2	3865	3991	3694	2493	2189	3211
X.g19990.t1	370	296	368	670	356	462
V.g16982.t2	228	274	214	3523	6688	4539
V.g16404.t3	5404	6015	5382	1176	1153	1502
I.g1318.t3	488	649	488	732	726	742
V.g17220.t1	2192	2688	2251	3527	2027	2723
III.g9169.t1	4130	4629	3961	1390	1446	1747
X.g21332.t1	5	3	0	5	11	8
V.g16554.t2	2083	2239	1996	1386	1681	1530
I.g3839.t1	1122	1136	1051	1079	1105	1206
V.g16194.t2	68	47	63	291	542	321
II.g6320.t1	6783	7085	6290	2022	2147	2978
II.g5275.t1	28073	29012	25608	26087	26194	25166
IV.g12387.t2	3143	3346	3043	3554	3485	4181
I.g2463.t1	14595	17939	17246	3799	5415	6469
II.g4106.t1	293	280	194	519	388	479
I.g1337.t1	14526	19310	15592	1397	2358	3819
IV.g11202.t1	747	803	689	424	334	486
II.g4993.t1	310	298	229	1630	1258	1230
I.g2274.t1	51763	62221	52894	8967	8119	15035
IV.g10670.t1	7708	7244	7083	5153	3646	5032
II.g5650.t1	196	163	72	1769	454	749
I.g2626.t3	6946	7014	6704	3422	4397	4854
II.g5797.t1	71	90	68	183	141	186
X.g19888.t1	5	7	7	2	5	4
X.g21779.t1	1141	1021	843	1907	985	1635
III.g7416.t1	3880	4745	3800	1753	1586	2488
IV.g13474.t1	959	1077	923	413	374	476
V.g17451.t1	10427	9946	9723	10353	8070	9831
V.g14329.t1	3824	4003	3538	2535	2689	3331
IV.g13739.t1	0	0	1	2655	2339	2527
II.g7243.t1	1	0	0	7655	6716	7052
I.g1775.t2	1142	1278	1123	662	606	724
V.g16618.t1	5	20	4	202	233	213
IV.g13035.t1	35	35	27	181	172	175
V.g16229.t1	2078	2337	1904	1647	1750	2000
V.g16509.t1	242	196	178	1175	715	1129
IV.g12660.t1	128	99	120	499	191	343
IV.g11374.t1	916	1251	845	2114	934	1595
V.g18458.t1	2550	2432	2487	3205	1944	3035
II.g4326.t1	102	147	56	2456	331	477
V.g16741.t1	506	568	438	1635	904	1408
II.g6095.t1	872	994	827	665	1054	820
X.g21208.t1	14	14	14	14	24	27
I.g2010.t1	3799	3137	3385	4193	3886	3994
II.g5795.t1	26	9	8	76	61	58
II.g6436.t1	11	8	5	88	106	95
V.g17215.t1	11	35	6	25	6	12
I.g1577.t1	1806	1738	1521	2092	3748	2435
X.g22057.t1	227	230	214	530	253	387
I.g1712.t3	44	39	69	178	147	162
X.g22058.t1	191	184	170	438	161	360
V.g16046.t1	1162	986	1113	4207	3972	4258
I.g3715.t2	264	313	234	697	457	575
I.g960.t1	3314	3912	2836	3553	1130	2488
IV.g12842.t1	2105	2338	2120	1235	1638	1547
X.g20762.t1	78	35	34	60	104	65
V.g16541.t1	451	396	365	542	493	409
II.g5308.t2	156	43	57	205	59	96
V.g15988.t1	107	95	64	361	753	424
III.g8819.t1	3940	3591	3530	2442	2717	2707
II.g5893.t2	3	2	2	2914	2294	2537
IV.g12143.t1	83	99	55	265	244	215
V.g16002.t2	1654	2130	1742	1118	1028	1273
V.g17573.t1	248	190	173	802	523	717
IV.g12327.t1	8664	6840	7044	10202	9468	8814
V.g16033.t1	4882	5716	4700	3163	3928	4427
IV.g12652.t1	908	1053	949	532	885	622
III.g7649.t1	25	16	11	88	32	79
II.g6900.t1	562	457	553	566	589	559
X.g21204.t1	385	239	296	832	589	616
IV.g10714.t1	10	10	16	5073	3742	4654
X.g18578.t2	439	437	441	190	268	283
III.g9838.t1	4754	4171	4389	3489	3572	4100
I.g823.t3	2421	2468	2167	1511	1214	1987
III.g8553.t1	1	1	2	3441	2357	2826
I.g1135.t1	6383	6747	5595	5148	9317	5493
II.g4781.t1	6984	7696	6578	1904	2411	2724
IV.g12083.t1	1756	1868	1594	1354	1788	1811
IV.g12563.t1	5421	6082	5559	1687	1646	2039
III.g7545.t1	75	66	39	220	131	175
V.g18305.t1	2	2	0	581	342	475
I.g2598.t1	3106	3387	3351	1003	1409	1197
I.g2239.t1	60	79	56	84	129	121
I.g2011.t1	0	0	0	19	1	8
V.g14179.t1	8569	9176	8507	4146	3420	4773
I.g2558.t1	1	2	2	4469	3505	3998
V.g18427.t1	2	1	1	11	5	5
V.g16214.t1	0	1	0	0	1	1
X.g20589.t1	276	279	231	238	283	272
IV.g11434.t1	5576	6382	5744	3423	3062	3864
III.g10090.t1	1307	1435	1132	372	235	429
V.g13897.t1	0	0	0	739	522	752
II.g5766.t3	376	349	348	621	253	501
III.g9549.t1	3	11	3	23	27	23
IV.g12565.t1	1074	622	930	1748	1228	1999
I.g1505.t2	2330	3145	2574	626	942	930
IV.g11259.t1	10569	11315	9300	12953	9156	12934
V.g18428.t1	0	0	0	0	0	0
X.g21576.t1	406	421	409	587	386	491
IV.g11481.t1	38	10	35	122	68	109
III.g9694.t1	0	1	3	21	13	9
III.g7661.t1	1179	1253	1138	845	783	932
V.g16377.t1	12	15	16	35	28	29
II.g6028.t1	1425	1378	1289	868	1064	1180
IV.g10589.t1	1095	1031	1005	612	788	711
V.g16443.t1	2203	2831	2326	2568	2248	2717
I.g1811.t1	14263	15651	14543	6399	4641	6999
II.g5313.t4	47	83	36	91	51	95
II.g5317.t1	1	0	2	61	9	48
V.g18287.t3	2039	1124	1229	4896	2872	3759
V.g13860.t1	11	10	8	77	25	27
II.g6268.t1	378	283	308	173	327	251
V.g13916.t1	4984	5364	4697	3507	4318	4443
IV.g12833.t1	1330	1385	1329	1075	1192	1266
V.g17326.t3	415	454	372	337	532	423
IV.g11803.t1	2880	2994	2907	1025	1605	1400
II.g4804.t1	13	10	5	111	38	65
I.g705.t1	1828	1793	1722	622	508	678
X.g20758.t1	6	3	5	14	11	22
IV.g12095.t1	2746	3026	2605	1143	1487	1518
I.g2539.t1	6072	6749	5978	9921	8189	9660
X.g20759.t1	1	0	0	1	5	3
II.g7352.t1	7441	7868	7593	7397	7003	7960
I.g2823.t1	94	76	104	225	186	194
V.g17037.t1	0	1	0	138	84	123
II.g4780.t1	7225	8210	7109	1757	2265	2905
II.g4812.t2	58	35	37	83	62	78
I.g1462.t3	680	678	688	1618	328	831
I.g2964.t1	1644	1824	1655	1118	1462	1538
III.g9163.t1	46	46	39	241	74	172
I.g2054.t2	9556	10632	9514	6247	6180	7561
V.g16236.t1	104	134	97	355	159	260
III.g10425.t1	65	61	63	276	332	316
III.g7744.t1	964	802	888	1171	780	1015
III.g9387.t1	1736	1735	1715	898	1328	1190
I.g924.t1	378	457	317	11825	6877	10217
II.g5367.t1	1927	2338	2035	1585	1562	1953
III.g8429.t1	15326	17109	14503	9187	10134	11242
V.g15218.t1	1	1	6	2154	1601	1960
III.g10045.t1	1378	1339	1382	972	914	1095
X.g21814.t2	755	1701	724	2214	1675	1918
I.g879.t1	162	140	115	440	520	534
V.g15573.t1	4	5	6	3	17	5
III.g10266.t1	2722	3227	2795	1930	1807	2330
III.g9462.t1	2208	2392	2231	1643	2012	2080
III.g10267.t1	636	751	625	471	439	567
I.g1243.t1	26672	30123	26648	3202	2425	5073
II.g5862.t3	8399	9398	8432	3561	4477	4524
V.g16978.t1	757	918	644	1218	926	1146
II.g5935.t1	2822	3149	2932	1711	1977	2170
V.g13883.t1	4347	4934	4262	2481	3161	3272
II.g5193.t1	4277	4948	4210	2510	2020	2898
III.g7878.t2	7578	7388	7081	7121	3761	6728
IV.g12333.t2	1512	1216	1325	1272	1525	1321
IV.g11109.t2	872	691	729	835	795	931
X.g20411.t1	317	363	290	192	299	229
II.g4941.t2	7584	8740	7434	2960	1284	2606
IV.g10890.t2	151	120	109	350	274	207
III.g9040.t1	5228	5393	5111	592	845	768
II.g4802.t1	32924	32230	29909	27793	33247	27745
I.g2107.t3	1634	1713	1473	1403	2592	1632
II.g5306.t1	9509	10646	9368	5849	5635	7288
II.g5181.t1	256	225	183	149	216	190
III.g9955.t1	55	52	44	70	41	67
III.g8067.t1	285	305	292	257	222	283
IV.g12622.t1	6952	8283	7130	2670	3056	3175
II.g6479.t3	8875	6279	7248	5211	4989	5960
III.g9807.t1	7197	6676	5945	4921	5032	5371
V.g16028.t1	5	26	1	409	19	134
IV.g13272.t1	0	1	0	2598	2417	2429
III.g7603.t1	2217	2211	2201	1494	1340	1909
IV.g13136.t1	20	21	7	71	60	78
X.g19239.t3	3783	3407	3059	2163	3715	2336
III.g7613.t1	15	6	12	15	40	30
V.g14095.t1	276	299	269	1733	1311	1840
V.g18496.t2	3	2	0	18	23	19
I.g2676.t2	4343	4670	4234	4391	5559	5153
III.g9374.t1	15183	16840	16231	2257	4632	6012
X.g20134.t1	782	909	714	569	510	571
I.g3727.t1	168	101	125	325	296	218
IV.g10600.t1	270	320	254	197	317	269
III.g9382.t3	4537	4667	4425	2238	2131	2544
V.g16249.t1	90	121	82	243	96	154
I.g2688.t1	173	215	112	340	534	322
II.g4481.t3	2	2	2	18	10	12
I.g1651.t1	3448	3791	3353	3250	3002	3551
I.g2687.t1	2	1	7	8	11	7
II.g5038.t1	1202	1147	926	921	355	822
II.g5731.t1	42	37	35	234	78	114
X.g21119.t1	72	87	51	155	99	110
X.g18803.t1	3	1	2	1	5	2
III.g8048.t1	1971	2148	1912	916	681	1132
I.g1531.t1	414	428	353	434	382	422
V.g16640.t1	4382	4714	4263	2817	4191	3480
V.g17397.t1	21	29	18	58	105	72
III.g8538.t1	0	0	0	16916	11583	14932
II.g6394.t1	24513	26386	24254	12876	6822	12770
III.g8243.t1	6014	6581	6069	3415	3710	4045
II.g6664.t2	2686	2831	2622	1970	1669	2380
II.g5563.t1	3984	4327	4103	1952	2799	2562
IV.g11925.t1	970	1066	1053	622	539	595
IV.g12067.t1	14	2	3	42	15	11
III.g8393.t1	51	43	42	106	68	95
V.g15767.t2	4629	4835	4798	2434	1763	2618
V.g15600.t3	3188	4514	3136	3904	3545	3693
III.g8745.t1	154	148	106	377	220	282
V.g18282.t1	4068	4420	4038	2093	2290	2555
I.g2117.t1	1884	1945	1779	1262	1341	1363
IV.g11543.t1	63	112	62	131	132	169
IV.g11320.t2	8871	12503	8428	9745	3458	8775
III.g9286.t2	0	1	2	16	11	7
III.g9287.t1	6	6	5	17	14	22
IV.g12180.t1	6	2	4	3701	2663	3500
V.g16754.t2	2830	3169	2602	2188	3239	2774
IV.g10760.t2	3861	4196	3650	3281	2678	3738
IV.g11934.t1	2949	2957	2675	1923	2248	2438
II.g5891.t2	4107	4674	4165	1639	1215	1935
IV.g12306.t1	52	43	40	87	36	48
II.g4980.t2	3484	3867	3438	1795	2239	2560
II.g5720.t2	25	34	13	336	208	227
II.g5157.t1	3121	3265	3102	569	687	681
I.g1912.t2	12563	11049	11928	14986	10756	13631
I.g3578.t1	1	2	2	530	279	416
I.g2985.t1	0	2	0	3586	2694	3254
I.g1741.t1	5892	6930	6024	1899	1666	2604
III.g9441.t1	580	532	506	496	556	612
V.g16823.t1	2758	3190	2866	1353	2070	1847
I.g3689.t1	46054	52850	44926	7328	5920	6997
IV.g10679.t3	235	246	197	165	290	200
II.g4383.t1	320	369	266	329	466	426
II.g4836.t1	1045	1098	974	443	405	438
V.g15723.t1	6467	7063	6113	4118	2827	4897
III.g8357.t1	5319	5702	5440	2337	1731	2759
III.g9774.t1	3144	3394	2976	1350	1207	1700
IV.g13440.t1	302	596	250	1665	381	1946
X.g18765.t1	7	11	5	22	18	24
II.g5424.t2	12626	14573	12400	3595	2121	3800
IV.g13811.t1	2925	1817	2500	7049	4787	6318
I.g3640.t1	1353	1291	1390	505	587	482
II.g5798.t1	61	58	83	66	75	95
V.g16197.t1	67	96	73	84	89	102
I.g1705.t1	49	51	60	373	200	282
V.g17174.t1	6066	6663	5973	3877	3634	5081
I.g2552.t2	3468	4135	3707	1795	1686	2161
IV.g11169.t1	129	223	55	99	82	97
IV.g11375.t3	17	26	15	112	90	72
II.g5730.t1	3973	4302	3730	3498	3352	4054
IV.g11646.t1	5936	6373	5539	3207	4319	4078
V.g17099.t1	2	2	1	16	5	7
II.g6166.t2	15957	18933	10436	9285	7025	7946
V.g14518.t1	9	5	7	25	12	10
III.g9818.t1	1487	1666	1505	1039	1073	1424
III.g9248.t1	210	111	138	345	300	229
III.g7592.t2	3455	3750	3218	2915	2166	3190
IV.g11255.t1	157	69	113	129	103	118
V.g14124.t1	1486	1730	1535	98	144	279
IV.g11213.t2	3833	4409	3640	1590	1517	2081
V.g14130.t2	512	669	514	42	62	102
V.g14125.t1	2245	2595	2353	116	126	275
I.g2623.t1	1798	1814	1697	1140	1499	1269
III.g8018.t2	1519	2321	1694	3525	2884	3623
II.g5421.t1	3249	2932	2771	2976	3738	3520
V.g14127.t1	421	347	493	26	38	70
III.g9750.t1	7364	8974	7118	6002	5000	7114
V.g15125.t1	1323	1343	1256	879	1185	1138
III.g8443.t1	1232	1298	1180	708	998	989
II.g5283.t1	13601	14456	14351	3909	3692	5332
II.g4450.t1	7	13	13	31	33	31
I.g2306.t1	11088	11453	10683	7015	5367	7286
V.g17332.t1	13822	16213	14296	2051	2394	3024
II.g5550.t1	5460	4167	3959	3383	3679	3051
IV.g13061.t1	64	64	52	387	265	354
II.g4005.t1	2521	2650	2496	2009	1659	2051
IV.g13277.t1	2649	3689	2364	7425	5710	8428
II.g4969.t1	1777	1999	1840	1251	1126	1405
IV.g12188.t1	3518	4813	3904	1002	1603	1551
IV.g11722.t1	15673	18143	15674	16114	13477	16937
I.g1551.t1	8488	9183	8686	4114	2999	4123
III.g9748.t2	4809	5287	4636	5259	4349	5945
II.g3956.t2	768	566	721	1056	848	1079
II.g6053.t1	2	5	3	21	25	21
IV.g10940.t1	242	231	252	265	130	343
III.g9260.t2	4787	4973	4783	1162	1533	1650
IV.g12090.t1	2784	2906	3094	978	1416	1199
IV.g11222.t1	1857	1833	1765	2519	1805	2179
I.g2609.t1	37916	34755	33251	31321	35243	30886
I.g873.t1	366	369	321	758	507	705
III.g9261.t1	162	185	146	396	467	447
X.g21488.t1	721	887	633	481	376	508
X.g21487.t1	581	778	531	407	249	408
I.g1518.t1	4559	4825	4567	1696	1864	2314
III.g9157.t1	1049	848	639	1500	1283	1418
I.g2786.t1	1231	1611	834	2047	3335	3498
III.g9460.t1	1820	2002	1861	849	923	1006
V.g16930.t1	628	691	581	499	579	606
III.g9459.t1	1574	1594	1562	669	1108	949
III.g8728.t1	22867	25172	25314	17565	18604	22744
V.g18249.t1	96	124	89	748	239	468
IV.g12500.t1	3	34	0	31	30	41
IV.g12425.t2	194	183	188	97	133	124
II.g6223.t1	4381	4542	3403	4004	5204	2314
II.g4007.t1	3205	3760	3159	2846	1684	2668
I.g2278.t1	56	40	28	133	120	127
V.g14735.t1	15	4	20	41	44	37
I.g2280.t1	5544	5996	5384	4776	5298	5407
X.g20585.t1	101	91	82	5	15	5
I.g707.t3	8278	8968	7729	3285	1639	3302
X.g21501.t1	631	401	455	1111	548	772
III.g10206.t1	2	0	1	5	2	5
V.g17160.t2	3171	3313	3131	1880	2181	2201
II.g6126.t1	889	856	814	327	291	452
III.g8005.t1	18	8	8	44	29	37
I.g1735.t2	2449	2639	2335	846	779	943
IV.g12916.t1	3669	3610	3245	835	711	927
V.g16543.t1	38	14	7	166	28	60
V.g16784.t1	28	29	27	15	21	25
III.g7421.t2	287	236	225	362	185	249
V.g16902.t1	4200	3417	3646	2626	3226	2822
II.g5980.t1	10013	10614	9297	3676	4333	4934
III.g9023.t1	33	7	7	249	157	100
I.g1168.t3	356	401	328	937	630	1012
I.g943.t1	1006	956	982	1512	1108	1288
V.g17265.t1	1266	1524	1302	770	860	897
IV.g12391.t1	1672	1615	1646	623	843	888
V.g17784.t1	31622	42044	33423	34975	25872	42086
X.g21599.t1	358	284	255	471	610	470
V.g15592.t2	3018	4348	4477	1059	1329	1810
I.g1994.t1	47	53	31	238	49	161
II.g4221.t1	428	306	234	1347	214	474
I.g3741.t1	783	844	827	358	574	498
V.g16052.t2	58	67	53	119	60	95
I.g2409.t1	3701	3814	3490	2399	2895	3067
II.g4306.t1	34	19	30	90	136	95
II.g6473.t2	18	16	16	91	97	87
II.g6474.t1	5	2	6	28	14	18
II.g5997.t1	318	429	273	325	377	379
II.g6094.t1	1902	2270	1985	675	955	993
V.g15407.t1	5982	6639	5957	3489	2936	3937
X.g20812.t1	596	634	556	761	514	747
I.g1880.t3	1710	1787	1692	1687	1672	1693
III.g9879.t3	1035	872	814	1189	694	1059
I.g3911.t2	667	336	582	1460	558	1473
X.g19424.t1	327	381	253	373	176	323
IV.g13472.t1	5895	5274	5595	6527	3443	6122
I.g2955.t1	6672	7015	6638	3769	3291	4595
I.g947.t3	114	167	86	166	287	193
V.g16325.t1	37	43	31	223	176	198
II.g5404.t1	2334	2368	2184	895	1418	1303
X.g20465.t1	13	14	5	17	11	12
III.g8734.t1	2250	2563	2289	1556	2023	2129
III.g9131.t1	237	181	240	187	132	274
II.g6409.t3	170	108	128	376	353	341
II.g4534.t1	2701	2953	2678	2114	1797	2330
I.g3525.t2	235	277	296	856	945	933
I.g2664.t2	6735	7700	6806	3035	3894	4148
V.g15659.t1	28	28	29	62	77	92
IV.g13619.t1	250	298	235	627	192	395
X.g19013.t1	637	712	605	194	158	256
X.g20426.t1	245	224	218	274	260	277
II.g7156.t1	165	159	167	397	272	376
III.g10223.t1	220	321	215	583	430	500
X.g20427.t1	4	2	0	72	109	46
I.g2237.t1	1743	1387	1397	2827	2013	2139
X.g21745.t2	2092	2019	1704	2248	1265	1986
I.g2197.t1	77	73	69	138	229	136
IV.g12475.t1	1192	3234	973	4148	2676	3631
I.g1799.t1	11089	12478	11475	4742	4147	6153
I.g2996.t3	931	1042	964	618	881	799
I.g1218.t2	4	2	4	6	3	4
V.g15739.t1	22	24	18	37	33	38
I.g2206.t1	89	148	71	559	267	528
II.g5832.t1	4292	5077	4436	5548	3661	5488
V.g15740.t1	10	3	2	25	18	20
III.g9559.t1	193	300	252	214	89	293
I.g3029.t1	12	11	2	167	44	65
II.g3951.t1	1273	1187	1106	613	515	609
I.g1960.t1	0	0	0	851	690	793
V.g17133.t1	34	36	21	1052	1270	1266
II.g4715.t2	1252	1129	1270	1653	1236	1675
V.g16403.t1	3098	3074	2235	5774	4442	4952
IV.g12189.t2	576	609	507	535	560	717
IV.g11588.t1	994	984	846	572	705	778
II.g5458.t1	4378	4860	4342	2533	2910	3204
III.g9094.t2	284	238	209	1021	878	1079
IV.g11166.t1	1551	1450	1430	1502	1202	1282
II.g4741.t1	843	756	741	393	576	465
V.g13880.t1	6140	5695	5282	3553	5471	4045
III.g8051.t1	29	12	14	106	54	70
X.g19607.t1	7	9	1	29	16	11
I.g2135.t1	266	256	269	177	266	163
III.g7625.t1	3452	3731	3222	1109	947	1435
I.g1425.t1	295	355	296	686	888	763
I.g2804.t2	13	13	13	62	91	75
I.g1744.t1	13189	11227	12468	8379	4813	7647
V.g17198.t1	50	43	23	250	99	175
II.g4030.t1	748	537	657	323	224	319
I.g2910.t1	97	132	78	484	555	487
V.g16298.t1	55388	61986	55414	43487	40134	42780
I.g2845.t2	22	10	9	85	89	68
IV.g13632.t1	6540	6194	6160	4800	2470	4606
IV.g11303.t1	23	20	25	51	85	40
I.g1767.t1	8720	7919	7831	12655	10265	11664
II.g3936.t1	6	7	6	13	9	14
III.g8420.t1	11987	13196	12400	3993	2216	4866
I.g2437.t2	3047	3244	3092	1038	1551	1476
IV.g13243.t1	56	49	37	144	169	154
I.g2879.t1	0	0	1	6	4	5
II.g6873.t1	298	308	296	235	168	194
X.g19088.t2	3303	2599	2811	2934	2688	4267
IV.g13857.t1	15	23	21	109	117	103
V.g14744.t3	271	335	212	718	618	811
V.g16463.t2	984	1166	843	1429	1753	1449
I.g2770.t1	86	94	66	193	191	211
IV.g11946.t2	357	229	353	329	381	298
III.g10122.t1	2586	2661	2585	4260	3161	4116
V.g16166.t1	4681	5145	4538	3544	2992	3999
V.g17399.t1	2848	3020	2745	1733	2325	2416
II.g3928.t1	1788	1897	1602	1238	1636	1542
I.g1771.t1	423	371	498	969	466	897
II.g5290.t2	424	1528	410	3408	489	2595
V.g17657.t1	199	261	124	682	358	664
X.g20273.t2	5	7	6	24	9	11
