"sex","class","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"male","no change","I",463,1.2662139804433,7.53098328384499e-05,1,""
"male","no change","II",432,1.04869696069105,0.435102157486453,2,""
"male","no change","III",428,1.26174666019784,0.000161370010397824,3,""
"male","no change","IV",407,0.944804224158142,0.354086204573888,4,""
"male","no change","V",505,0.894016715935474,0.0445039659224923,5,""
"male","no change","X",384,0.739333543676635,4.48976707188053e-07,6,""
"male","ambiguous","I",322,1.18411925473795,0.0132558824910311,1,""
"male","ambiguous","II",314,1.06067331322868,0.393444155238707,2,""
"male","ambiguous","III",306,1.22883692527836,0.00312127764276365,3,""
"male","ambiguous","IV",300,0.981258878580139,0.811878518873009,4,""
"male","ambiguous","V",361,0.892695721791129,0.0734009752598155,5,""
"male","ambiguous","X",281,0.771351710286046,0.000155129661105734,6,""
"male","additive","I",149,1.04917399711653,0.604048557533295,1,""
"male","additive","II",144,0.939150998693989,0.548431431248102,2,""
"male","additive","III",141,1.08009801499282,0.407969061853994,3,""
"male","additive","IV",168,1.13319443911425,0.167648789887658,4,""
"male","additive","V",192,0.973206299218194,0.770218663646652,5,""
"male","additive","X",152,0.86460716432575,0.122949412696385,6,""
"male","C. briggsae dominant","I",368,1.13200921261886,0.0543605162660054,1,""
"male","C. briggsae dominant","II",361,1.01975261545168,0.749725100409531,2,""
"male","C. briggsae dominant","III",291,0.904929689561567,0.157135481127442,3,""
"male","C. briggsae dominant","IV",370,1.04257886991765,0.504509873737651,4,""
"male","C. briggsae dominant","V",482,1.07046646034177,0.236632380447763,5,""
"male","C. briggsae dominant","X",356,0.842988128810767,0.00669373264693934,6,""
"male","C. nigoni dominant","I",237,1.08547930698824,0.278405592951212,1,""
"male","C. nigoni dominant","II",211,0.866556675918413,0.0689430571854619,2,""
"male","C. nigoni dominant","III",197,0.941996806348121,0.496449101039255,3,""
"male","C. nigoni dominant","IV",249,1.06808186123529,0.38512149900976,4,""
"male","C. nigoni dominant","V",263,0.815616249565259,0.00441879520247336,5,""
"male","C. nigoni dominant","X",313,1.27321725618153,0.000510606875401744,6,""
"male","overdominant","I",154,0.511610036186057,4.48565982868847e-16,1,"*"
"male","overdominant","II",243,0.849058589673752,0.0277247330947919,2,""
"male","overdominant","III",172,0.648519246887712,1.20113218427924e-07,3,"*"
"male","overdominant","IV",252,0.879867901233704,0.0831594945242797,4,""
"male","overdominant","V",469,1.54018503301067,1.13640303582329e-12,5,"*"
"male","overdominant","X",425,1.62254624363642,2.5504394869627e-14,6,"*"
"male","underdominant","I",188,0.755346462252652,0.000538145600636953,1,""
"male","underdominant","II",277,1.18163499438856,0.021074136339777,2,""
"male","underdominant","III",204,0.930611087240175,0.387888477327332,3,""
"male","underdominant","IV",255,1.03932477922483,0.603987870698429,4,""
"male","underdominant","V",295,0.898751241606772,0.130028881315933,5,""
"male","underdominant","X",317,1.21803662954002,0.00402813704300745,6,""
